"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","4,382.78","4,203.62","4,390.94","4,196.92","","4.51%"
"10/01/2023","4,193.80","4,280.50","4,393.73","4,103.49","","-2.20%"
"09/01/2023","4,288.05","4,534.42","4,540.16","4,238.53","","-4.87%"
"08/01/2023","4,507.66","4,576.21","4,584.24","4,337.77","","-1.77%"
"07/01/2023","4,588.96","4,444.17","4,606.00","4,385.18","","3.11%"
"06/01/2023","4,450.38","4,183.84","4,458.43","4,171.00","","6.47%"
"05/01/2023","4,179.83","4,166.27","4,229.98","4,048.00","","0.25%"
"04/01/2023","4,169.48","4,102.50","4,170.52","4,049.30","","1.46%"
"03/01/2023","4,109.31","3,958.20","4,110.80","3,810.54","","3.51%"
"02/01/2023","3,970.15","4,063.85","4,195.34","3,942.86","","-2.61%"
"01/01/2023","4,076.60","3,858.38","4,094.32","3,793.67","","6.18%"
"12/01/2022","3,839.50","4,089.50","4,103.05","3,764.14","","-5.90%"
"11/01/2022","4,080.11","3,911.50","4,080.11","3,695.60","","5.38%"
"10/01/2022","3,871.98","3,624.07","3,906.05","3,490.00","","7.99%"
"09/01/2022","3,585.62","3,929.90","4,119.69","3,585.40","","-9.34%"
"08/01/2022","3,955.00","4,103.38","4,325.50","3,954.90","","-4.24%"
"07/01/2022","4,130.29","3,779.27","4,140.00","3,720.25","","9.11%"
"06/01/2022","3,785.38","4,156.10","4,177.60","3,636.82","","-8.39%"
"05/01/2022","4,132.15","4,132.70","4,307.90","3,810.50","","0.01%"
"04/01/2022","4,131.93","4,547.90","4,593.90","4,123.87","","-8.80%"
"03/01/2022","4,530.41","4,358.08","4,637.90","4,157.20","","3.58%"
"02/01/2022","4,373.79","4,521.35","4,595.10","4,114.50","","-3.14%"
"01/01/2022","4,515.55","4,781.00","4,817.88","4,221.54","","-5.26%"
"12/01/2021","4,766.18","4,623.80","4,808.52","4,494.20","","4.36%"
"11/01/2021","4,567.00","4,616.47","4,743.74","4,560.26","","-0.83%"
"10/01/2021","4,605.38","4,324.71","4,608.70","4,278.70","","6.91%"
"09/01/2021","4,307.54","4,531.04","4,544.58","4,304.90","","-4.76%"
"08/01/2021","4,522.68","4,415.90","4,537.80","4,369.20","","2.90%"
"07/01/2021","4,395.26","4,304.10","4,430.20","4,232.80","","2.27%"
"06/01/2021","4,297.50","4,216.52","4,302.43","4,164.40","","2.22%"
"05/01/2021","4,204.11","4,191.98","4,238.04","4,056.88","","0.55%"
"04/01/2021","4,181.17","3,992.78","4,218.78","3,992.78","","5.24%"
"03/01/2021","3,972.89","3,842.51","3,994.41","3,723.34","","4.24%"
"02/01/2021","3,811.15","3,731.17","3,950.43","3,725.62","","2.61%"
"01/01/2021","3,714.24","3,764.61","3,870.90","3,662.71","","-1.11%"
"12/01/2020","3,756.07","3,645.87","3,760.20","3,633.40","","3.71%"
"11/01/2020","3,621.63","3,296.20","3,645.99","3,279.74","","10.75%"
"10/01/2020","3,269.96","3,385.87","3,549.85","3,233.94","","-2.77%"
"09/01/2020","3,363.00","3,507.44","3,588.11","3,209.45","","-3.92%"
"08/01/2020","3,500.31","3,288.26","3,514.77","3,284.53","","7.01%"
"07/01/2020","3,271.12","3,105.92","3,279.99","3,101.17","","5.51%"
"06/01/2020","3,100.29","3,038.78","3,233.13","2,965.66","","1.84%"
"05/01/2020","3,044.31","2,869.09","3,068.67","2,766.64","","4.53%"
"04/01/2020","2,912.43","2,498.08","2,954.86","2,447.49","","12.68%"
"03/01/2020","2,584.59","2,974.28","3,136.72","2,191.86","","-12.51%"
"02/01/2020","2,954.22","3,235.66","3,393.52","2,855.84","","-8.41%"
"01/01/2020","3,225.52","3,244.67","3,337.77","3,214.64","","-0.16%"
"12/01/2019","3,230.78","3,143.85","3,247.93","3,070.33","","2.86%"
"11/01/2019","3,140.98","3,050.72","3,154.26","3,050.72","","3.40%"
"10/01/2019","3,037.56","2,983.69","3,050.10","2,855.94","","2.04%"
"09/01/2019","2,976.74","2,909.01","3,021.99","2,891.85","","1.72%"
"08/01/2019","2,926.46","2,980.32","3,013.59","2,822.12","","-1.81%"
"07/01/2019","2,980.38","2,971.41","3,027.98","2,952.22","","1.31%"
"06/01/2019","2,941.76","2,751.53","2,964.15","2,728.81","","6.89%"
"05/01/2019","2,752.06","2,952.33","2,954.13","2,750.52","","-6.58%"
"04/01/2019","2,945.83","2,848.63","2,949.52","2,848.63","","3.93%"
"03/01/2019","2,834.40","2,798.22","2,860.31","2,722.27","","1.79%"
"02/01/2019","2,784.49","2,702.32","2,813.49","2,681.83","","2.97%"
"01/01/2019","2,704.10","2,476.96","2,708.95","2,443.96","","7.87%"
"12/01/2018","2,506.85","2,790.50","2,800.18","2,346.58","","-9.18%"
"11/01/2018","2,760.17","2,717.58","2,815.15","2,631.09","","1.79%"
"10/01/2018","2,711.74","2,926.29","2,939.86","2,603.54","","-6.94%"
"09/01/2018","2,913.98","2,896.96","2,940.91","2,864.12","","0.43%"
"08/01/2018","2,901.52","2,821.17","2,916.50","2,796.34","","3.03%"
"07/01/2018","2,816.29","2,704.95","2,848.03","2,698.95","","3.60%"
"06/01/2018","2,718.37","2,718.70","2,791.47","2,691.99","","0.48%"
"05/01/2018","2,705.27","2,643.64","2,742.24","2,594.62","","2.16%"
"04/01/2018","2,648.05","2,633.45","2,717.49","2,553.80","","0.27%"
"03/01/2018","2,640.87","2,715.22","2,801.90","2,585.89","","-2.69%"
"02/01/2018","2,713.83","2,816.45","2,835.96","2,532.69","","-3.89%"
"01/01/2018","2,823.81","2,683.73","2,872.87","2,682.36","","5.62%"
"12/01/2017","2,673.61","2,645.10","2,694.97","2,605.52","","0.98%"
"11/01/2017","2,647.58","2,583.21","2,657.74","2,557.45","","2.81%"
"10/01/2017","2,575.26","2,521.20","2,582.98","2,520.40","","2.22%"
"09/01/2017","2,519.36","2,474.42","2,519.44","2,446.55","","1.93%"
"08/01/2017","2,471.65","2,477.10","2,490.87","2,417.35","","0.05%"
"07/01/2017","2,470.30","2,431.39","2,484.04","2,407.70","","1.93%"
"06/01/2017","2,423.41","2,415.65","2,453.82","2,405.70","","0.48%"
"05/01/2017","2,411.80","2,388.50","2,418.71","2,352.72","","1.16%"
"04/01/2017","2,384.20","2,362.34","2,398.16","2,328.95","","0.91%"
"03/01/2017","2,362.72","2,380.13","2,400.98","2,322.25","","-0.04%"
"02/01/2017","2,363.64","2,285.59","2,371.54","2,271.65","","3.72%"
"01/01/2017","2,278.87","2,251.57","2,300.99","2,245.13","","1.79%"
"12/01/2016","2,238.83","2,200.17","2,277.53","2,187.44","","1.82%"
"11/01/2016","2,198.81","2,128.68","2,214.10","2,083.79","","3.42%"
"10/01/2016","2,126.15","2,164.33","2,169.60","2,114.72","","-1.94%"
"09/01/2016","2,168.27","2,171.33","2,187.87","2,119.12","","-0.12%"
"08/01/2016","2,170.95","2,173.15","2,193.81","2,147.58","","-0.12%"
"07/01/2016","2,173.60","2,099.34","2,177.09","2,074.02","","3.56%"
"06/01/2016","2,098.86","2,093.94","2,120.55","1,991.68","","0.09%"
"05/01/2016","2,096.96","2,067.17","2,103.48","2,025.91","","1.53%"
"04/01/2016","2,065.30","2,056.62","2,111.05","2,033.80","","0.27%"
"03/01/2016","2,059.74","1,937.09","2,072.21","1,937.09","","6.60%"
"02/01/2016","1,932.23","1,936.94","1,962.96","1,810.10","","-0.41%"
"01/01/2016","1,940.24","2,038.20","2,038.20","1,812.29","","-5.07%"
"12/01/2015","2,043.94","2,082.93","2,104.27","1,993.26","","-1.75%"
"11/01/2015","2,080.41","2,080.76","2,116.48","2,019.39","","0.05%"
"10/01/2015","2,079.36","1,919.65","2,094.32","1,893.70","","8.30%"
"09/01/2015","1,920.03","1,970.09","2,020.86","1,871.91","","-2.64%"
"08/01/2015","1,972.18","2,104.49","2,112.66","1,867.01","","-6.26%"
"07/01/2015","2,103.84","2,067.00","2,132.82","2,044.02","","1.97%"
"06/01/2015","2,063.11","2,108.64","2,129.87","2,056.32","","-2.10%"
"05/01/2015","2,107.39","2,087.38","2,134.72","2,067.93","","1.05%"
"04/01/2015","2,085.51","2,067.63","2,125.92","2,048.38","","0.85%"
"03/01/2015","2,067.89","2,105.23","2,117.52","2,039.69","","-1.74%"
"02/01/2015","2,104.50","1,996.67","2,119.59","1,980.90","","5.49%"
"01/01/2015","1,994.99","2,058.90","2,072.36","1,988.12","","-3.10%"
"12/01/2014","2,058.90","2,065.78","2,093.55","1,972.56","","-0.42%"
"11/01/2014","2,067.56","2,018.21","2,075.76","2,001.01","","2.45%"
"10/01/2014","2,018.05","1,971.44","2,018.19","1,820.66","","2.32%"
"09/01/2014","1,972.29","2,004.07","2,019.26","1,964.04","","-1.55%"
"08/01/2014","2,003.37","1,929.80","2,005.04","1,904.78","","3.77%"
"07/01/2014","1,930.67","1,962.29","1,991.39","1,930.67","","-1.51%"
"06/01/2014","1,960.23","1,923.87","1,968.17","1,915.98","","1.91%"
"05/01/2014","1,923.57","1,884.39","1,924.03","1,859.79","","2.10%"
"04/01/2014","1,883.95","1,873.96","1,897.28","1,814.36","","0.62%"
"03/01/2014","1,872.34","1,857.68","1,883.97","1,834.44","","0.69%"
"02/01/2014","1,859.45","1,782.68","1,867.92","1,737.92","","4.31%"
"01/01/2014","1,782.59","1,845.86","1,850.84","1,770.45","","-3.56%"
"12/01/2013","1,848.36","1,806.55","1,849.44","1,767.99","","2.36%"
"11/01/2013","1,805.81","1,758.70","1,813.55","1,746.20","","2.80%"
"10/01/2013","1,756.54","1,682.41","1,775.22","1,646.47","","4.46%"
"09/01/2013","1,681.55","1,635.95","1,729.86","1,633.41","","2.97%"
"08/01/2013","1,632.97","1,689.42","1,709.67","1,627.47","","-3.13%"
"07/01/2013","1,685.73","1,609.78","1,698.78","1,604.57","","4.95%"
"06/01/2013","1,606.28","1,631.71","1,654.19","1,560.33","","-1.50%"
"05/01/2013","1,630.74","1,597.55","1,687.18","1,581.28","","2.08%"
"04/01/2013","1,597.57","1,569.18","1,597.57","1,536.03","","1.81%"
"03/01/2013","1,569.19","1,514.68","1,570.28","1,501.48","","3.60%"
"02/01/2013","1,514.68","1,498.11","1,530.94","1,485.01","","1.11%"
"01/01/2013","1,498.11","1,426.19","1,509.94","1,426.19","","5.04%"
"12/01/2012","1,426.19","1,416.34","1,448.00","1,398.11","","0.71%"
"11/01/2012","1,416.18","1,412.20","1,434.27","1,343.35","","0.28%"
"10/01/2012","1,412.16","1,440.90","1,470.96","1,403.28","","-1.98%"
"09/01/2012","1,440.67","1,406.54","1,474.51","1,396.56","","2.42%"
"08/01/2012","1,406.58","1,379.32","1,426.68","1,354.65","","1.98%"
"07/01/2012","1,379.32","1,362.33","1,391.74","1,325.41","","1.26%"
"06/01/2012","1,362.16","1,309.87","1,363.46","1,266.74","","3.96%"
"05/01/2012","1,310.33","1,397.86","1,415.32","1,291.98","","-6.27%"
"04/01/2012","1,397.91","1,408.47","1,422.38","1,357.38","","-0.75%"
"03/01/2012","1,408.47","1,365.90","1,419.15","1,340.03","","3.13%"
"02/01/2012","1,365.68","1,312.45","1,378.04","1,312.45","","4.06%"
"01/01/2012","1,312.41","1,258.86","1,333.47","1,258.86","","4.36%"
"12/01/2011","1,257.60","1,246.91","1,269.37","1,202.37","","0.85%"
"11/01/2011","1,246.96","1,251.00","1,277.55","1,158.66","","-0.51%"
"10/01/2011","1,253.30","1,131.21","1,292.66","1,074.77","","10.77%"
"09/01/2011","1,131.42","1,219.12","1,229.29","1,114.22","","-7.18%"
"08/01/2011","1,218.89","1,292.59","1,307.38","1,101.54","","-5.68%"
"07/01/2011","1,292.28","1,320.64","1,356.48","1,282.86","","-2.15%"
"06/01/2011","1,320.64","1,345.20","1,345.20","1,258.07","","-1.83%"
"05/01/2011","1,345.20","1,365.21","1,370.58","1,311.80","","-1.35%"
"04/01/2011","1,363.61","1,329.48","1,364.56","1,294.70","","2.85%"
"03/01/2011","1,325.83","1,328.64","1,332.28","1,249.05","","-0.10%"
"02/01/2011","1,327.22","1,289.14","1,344.07","1,289.14","","3.20%"
"01/01/2011","1,286.12","1,257.62","1,302.67","1,257.62","","2.26%"
"12/01/2010","1,257.64","1,186.60","1,262.60","1,186.60","","6.53%"
"11/01/2010","1,180.55","1,185.71","1,227.08","1,173.00","","-0.23%"
"10/01/2010","1,183.26","1,143.49","1,196.14","1,131.87","","3.69%"
"09/01/2010","1,141.20","1,049.72","1,157.16","1,049.72","","8.76%"
"08/01/2010","1,049.33","1,107.53","1,129.24","1,039.70","","-4.74%"
"07/01/2010","1,101.60","1,031.10","1,120.95","1,010.91","","6.88%"
"06/01/2010","1,030.71","1,087.30","1,131.23","1,028.33","","-5.39%"
"05/01/2010","1,089.41","1,188.58","1,205.13","1,040.78","","-8.20%"
"04/01/2010","1,186.69","1,171.23","1,219.80","1,170.69","","1.48%"
"03/01/2010","1,169.43","1,105.36","1,180.69","1,105.36","","5.88%"
"02/01/2010","1,104.49","1,073.89","1,112.42","1,044.50","","2.85%"
"01/01/2010","1,073.87","1,116.56","1,150.45","1,071.59","","-3.70%"
"12/01/2009","1,115.10","1,098.89","1,130.38","1,085.89","","1.78%"
"11/01/2009","1,095.63","1,036.18","1,113.69","1,029.38","","5.74%"
"10/01/2009","1,036.19","1,054.91","1,101.36","1,019.95","","-1.98%"
"09/01/2009","1,057.08","1,019.52","1,080.15","991.97","","3.57%"
"08/01/2009","1,020.62","990.22","1,039.47","978.51","","3.36%"
"07/01/2009","987.48","920.82","996.68","869.32","","7.41%"
"06/01/2009","919.32","923.26","956.23","888.86","","0.02%"
"05/01/2009","919.14","872.74","930.17","866.10","","5.31%"
"04/01/2009","872.81","793.59","888.70","783.32","","9.39%"
"03/01/2009","797.87","729.57","832.98","666.79","","8.54%"
"02/01/2009","735.09","823.09","875.01","734.52","","-10.99%"
"01/01/2009","825.88","902.99","943.85","804.30","","-8.57%"